
2024/01/11 (21:34:01) | ===> btop++ v.1.3.0
2024/01/11 (21:34:01) | ERROR: Stall in Runner thread, restarting!
2024/01/11 (21:34:19) | ERROR: Stall in Runner thread, restarting!
2024/01/11 (21:34:28) | ERROR: Stall in Runner thread, restarting!

2024/01/12 (12:12:26) | ===> btop++ v.1.3.0
2024/01/12 (12:12:27) | ERROR: Stall in Runner thread, restarting!
2024/01/12 (12:12:41) | ERROR: Stall in Runner thread, restarting!
2024/01/12 (12:13:54) | ERROR: Stall in Runner thread, restarting!
2024/01/12 (12:14:02) | ERROR: Stall in Runner thread, restarting!
2024/01/12 (12:14:14) | ERROR: Stall in Runner thread, restarting!
2024/01/12 (12:16:35) | ERROR: Stall in Runner thread, restarting!
2024/01/12 (12:16:40) | ERROR: Stall in Runner thread, restarting!

2024/01/15 (00:06:35) | ===> btop++ v.1.3.0
2024/01/15 (00:06:35) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/09/26 (21:54:23) | ===> btop++ v.1.4.0
2024/09/26 (21:54:23) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/03 (09:50:12) | ===> btop++ v.1.4.0
2024/10/03 (09:50:12) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/03 (09:54:38) | ===> btop++ v.1.4.0
2024/10/03 (09:54:38) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (12:05:28) | ===> btop++ v.1.4.0
2024/10/14 (12:05:28) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (15:43:38) | ===> btop++ v.1.4.0
2024/10/14 (15:43:38) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (15:48:04) | ===> btop++ v.1.4.0
2024/10/14 (15:48:04) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/18 (12:31:24) | ===> btop++ v.1.4.0
2024/10/18 (12:31:24) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/18 (12:33:17) | ===> btop++ v.1.4.0
2024/10/18 (12:33:17) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/18 (12:33:21) | ===> btop++ v.1.4.0
2024/10/18 (12:33:21) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/25 (17:22:46) | ===> btop++ v.1.4.0
2024/10/25 (17:22:46) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/27 (11:01:38) | ===> btop++ v.1.4.0
2024/10/27 (11:01:38) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/29 (15:31:31) | ===> btop++ v.1.4.0
2024/10/29 (15:31:31) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/03 (12:15:03) | ===> btop++ v.1.4.0
2024/11/03 (12:15:03) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/03 (12:15:25) | ===> btop++ v.1.4.0
2024/11/03 (12:15:25) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/05 (12:49:13) | ===> btop++ v.1.4.0
2024/11/05 (12:49:13) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/07 (13:15:34) | ===> btop++ v.1.4.0
2024/11/07 (13:15:34) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/07 (13:16:52) | ===> btop++ v.1.4.0
2024/11/07 (13:16:52) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/01 (12:17:56) | ===> btop++ v.1.4.0
2025/01/01 (12:17:56) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/10 (20:00:37) | ===> btop++ v.1.4.0
2025/01/10 (20:00:37) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/10 (20:01:20) | ===> btop++ v.1.4.0
2025/01/10 (20:01:20) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/10 (20:02:25) | ===> btop++ v.1.4.0
2025/01/10 (20:02:25) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/10 (20:02:28) | ===> btop++ v.1.4.0
2025/01/10 (20:02:28) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/11 (09:24:29) | ===> btop++ v.1.4.0
2025/01/11 (09:24:29) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/12 (09:59:45) | ===> btop++ v.1.4.0
2025/01/12 (09:59:45) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/12 (10:14:36) | ===> btop++ v.1.4.0
2025/01/12 (10:14:36) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/20 (14:39:33) | ===> btop++ v.1.4.0
2025/02/20 (14:39:33) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (16:13:38) | ===> btop++ v.1.4.0
2025/03/04 (16:13:38) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (16:17:29) | ===> btop++ v.1.4.0
2025/03/04 (16:17:29) | WARNING: Intel GPU: Failed to initialize PMU
